id	nom	cat	prix	palier	cle	statut	licence	origine	mots_cles	resume	urls
ollama	Ollama	0 · Socle local (aucune donnée ne sort)	materiel	A	non	absent	MIT	1	ollama ollama socle local aucune donn e ne sort src ai llmclient js lit ollama base url ollama model depuis env repli silencieusement d sactiv si l api ne r pond pas cpu	Moteur d'inférence local : sert les LLM à toute la tour via une API compatible OpenAI (http://127.0.0.1:11434/v1). Le socle de tout le reste.	https://github.com/ollama/ollama https://ollama.com/download
litellm	LiteLLM	0 · Socle local (aucune donnée ne sort)	materiel	A	non	absent	MIT	1	litellm litellm socle local aucune donn e ne sort un seul endpoint pour chatconsole inteltwin reaserch engine les agents budgets limits dans le config cpu	Proxy unique devant Ollama + fournisseurs gratuits (Groq/OpenRouter :free) + payants : changer de modèle = changer une ligne de config, jamais du code.	https://github.com/BerriAI/litellm https://docs.litellm.ai
lm-studio	LM Studio	0 · Socle local (aucune donnée ne sort)	materiel	A	non	absent	gratuit / source fermée		lm studio lm studio socle local aucune donn e ne sort optionnel privil gier pour un usage non technique d un proche pas comme socle cpu	Alternative GUI à Ollama pour charger/tester des GGUF sans ligne de commande (sert aussi une API locale).	https://lmstudio.ai https://lmstudio.ai/docs
gobbonet	GobboNet (Elodine)	0 · Socle local (aucune donnée ne sort)	materiel	ABC	non	reference	« Other » (non-OSI)	8	gobbonet elodine gobbonet socle local aucune donn e ne sort ne pas lier nos quivalents audit stack install stack ps1 sh ollama open webui cpu	Référence du scénario « un seul fichier qui installe tout » : .exe 699 Ko qui pose llama.cpp + un modèle choisi selon la VRAM, puis tourne débranché. C'est le modèle UX de notre installeur.	https://goblincorps.com/gobbonet https://github.com/ElodineOfficial/GobboNet
pinokio	Pinokio	0 · Socle local (aucune donnée ne sort)	materiel	A	non	absent	MIT (launcher)		pinokio pinokio socle local aucune donn e ne sort ne remplace pas notre installeur versionn nos scripts restent la voie de r f rence lisibles relan ables dans ton repo cpu	Launcher « 1 clic » qui clone, installe et démarre des projets open source. Utile pour tester une idée vite.	https://pinokio.computer https://github.com/cocktailpeanut/pinokio
whisper-cpp	whisper.cpp	0 · Socle local (aucune donnée ne sort)	materiel	A	non	absent	MIT		whisper cpp whisper cpp socle local aucune donn e ne sort src voice sttlocal js appelle le binaire en local file d attente de fichiers pas de cloud cpu	Transcription locale de mémos/radios/captures audio, sur CPU. Alimente l'input texte de la tour.	https://github.com/ggml-org/whisper.cpp https://huggingface.co/ggerganov/whisper.cpp
searxng	SearXNG	1 · Recherche & collecte web	materiel	A	non	absent	AGPL-3.0	2	searxng searxng recherche collecte web search base url http localhost 8080 search dans env vane peut l utiliser comme backend cpu	Méta-recherche privée auto-hébergée : tes requêtes ne sont plus attachées à ton identité auprès des moteurs. Devient le `SearxngRetriever` de `reaserch-engine` et le « cherche » de la tour.	https://github.com/searxng/searxng https://docs.searxng.org
vane-perplexica	Vane (ex-Perplexica)	1 · Recherche & collecte web	materiel	A	non	absent	MIT (36,6 k★)	2	vane ex perplexica vane perplexica recherche collecte web vane base url http localhost 3000 api les r ponses cit es nourrissent hudsummaryresponse js et les dossiers de recherche cpu	Moteur de réponse avec citations : lit le web via SearXNG, rerank, répond. Remplace un Perplexity à 20 $/mois. UI de recherche « dossier » pour la tour.	https://github.com/ItzCrazyKns/Vane https://hub.docker.com/r/itzcrazykns1337/vane
crawl4ai	Crawl4AI	1 · Recherche & collecte web	materiel	A	non	absent	Apache-2.0 (66-80 k★)	1	crawl4ai crawl4ai recherche collecte web engine retrieval py crawl4airetriever search request renvoie du markdown horodat pr t pour l extraction d vidence cpu	Page web → markdown propre / JSON structuré, avec rendu JS. Le « yeux » qui manque à `reaserch-engine` pour lire les pages que SearXNG trouve.	https://github.com/unclecode/crawl4ai https://docs.crawl4ai.com
firecrawl	Firecrawl (self-host)	1 · Recherche & collecte web	materiel	B	non	absent	AGPL-3.0 (core)		firecrawl self host firecrawl recherche collecte web non recommand pour une tour l g re crawl4ai couvre le besoin plus petite empreinte gpu	Alternative à Crawl4AI : crawl + scrape + map + extract en REST, avec SDK compatibles. À considérer seulement si tu veux un service multi-projets.	https://github.com/firecrawl/firecrawl https://docs.firecrawl.dev/contributing/self-host
